MARITAL_STATUS,STATE,CREDIT_BALANCE,TIME_AS_CUSTOMER,MORTGAGE_AMOUNT,BANK_FUNDS,N_OF_DEPENDENTS,HAS_CHILDREN,SALARY,CUST_ID,SEX,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOUSE_OWNERSHIP,N_TRANS_WEB_BANK,BUY_INSURANCE,MONTHLY_CHECKS_WRITTEN,N_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,LTV,T_AMOUNT_AUTOM_PAYMENTS,N_TRANS_TELLER,CHECKING_AMOUNT,N_TRANS_ATM,LTV_BIN,LAST,N_MORTGAGES,CAR_OWNERSHIP,FIRST
DIVORCED,MI,0,1,3000,2480,1,YES,60610,CU10970,Female,IT Staff,1500,Midwest,1,450,Yes,3,1,30,53.9,21652.5,3078,1,2473,4,MEDIUM,HILARIA,1,YES,STAPLETON
SINGLE,TX,0,3,0,0,3,NO,69258,CU12200,Male,Programmer/Developer,1000,Southwest,0,0,No,11,4,30,53.08,15814.5,0,1,25,1,MEDIUM,LAZARO,0,NO,LAIRD
SINGLE,CA,0,3,400,590,3,YES,61384,CU8720,Male,Waiter/Waitress,1000,West,1,400,Yes,2,1,23,53.98,18146,208,2,25,5,MEDIUM,KENNETH,1,YES,NADEAU
DIVORCED,WA,0,3,2050,650,3,YES,63525,CU8721,Male,Software Engineer,1000,West,1,2050,Yes,13,3,22,54.35,18581.25,242,2,25,5,MEDIUM,JARVIS,1,YES,CLARKE
DIVORCED,NY,0,4,2500,700,1,NO,71504,CU8722,Female,IT Staff,1000,NorthEast,1,2500,No,1,1,42,53.79,32076,393,3,118,4,VERY HIGH,STACEY,1,YES,HENSON
WIDOWED,NY,0,4,8000,26600,1,YES,67314,CU3750,Female,School Teacher,900,NorthEast,1,5000,Yes,2,2,52,53.12,27028.5,930,5,336,2,HIGH,ENID,1,YES,FARRIS
SINGLE,UT,0,2,0,0,0,NO,67422,CU15239,Male,PROF-28,2500,Southwest,0,0,No,0,5,48,53.06,22655.5,0,0,25,0,HIGH,EDMUNDO,0,NO,CRAMER
SINGLE,UT,0,3,0,0,3,NO,64518,CU15241,Male,Professor,1500,Southwest,0,0,No,3,5,20,53.05,13629.5,0,0,25,2,LOW,PATRICK,0,NO,KIMBALL
MARRIED,UT,72,1,1200,800,1,NO,60528,CU15242,Female,IT Staff,2500,Southwest,1,250,No,13,5,48,52.99,28432,360,3,100,2,HIGH,MYRL,1,YES,RANDOLPH
SINGLE,UT,0,2,0,0,0,NO,76928,CU15243,Male,Clerical,1500,Southwest,0,0,No,0,5,27,53.09,22932,0,0,25,1,HIGH,LUCIO,0,NO,VALENTINE
MARRIED,UT,0,2,1106,200,2,NO,74864,CU15244,Male,Fireman,2500,Southwest,1,1106,No,5,5,46,53.04,30316,0,1,25,2,VERY HIGH,VINCE,1,YES,CANALES
SINGLE,UT,0,3,200,0,3,NO,62354,CU15246,Male,PROF-27,1500,Southwest,1,200,No,0,5,26,53.06,23688.5,0,0,25,0,HIGH,MICHEL,1,YES,WATTS
SINGLE,UT,0,3,0,0,3,NO,74769,CU15247,Male,IT Staff,1500,Southwest,0,0,No,6,5,24,54.59,16592.25,5562,0,25,5,MEDIUM,ALDEN,0,YES,DOW
MARRIED,UT,0,1,1000,250,1,NO,56655,CU15248,Male,PROF-12,2500,Southwest,1,1000,No,2,5,33,53.23,25963.75,5285,2,5275,3,HIGH,CARMINE,1,YES,BUSCH
SINGLE,UT,0,2,0,0,2,NO,66606,CU15249,Male,Bank Teller,2500,Southwest,0,0,No,1,5,41,53.05,17751.5,0,0,25,2,MEDIUM,CYRIL,0,NO,GOODWIN
SINGLE,UT,0,1,0,0,1,NO,78519,CU15250,Male,Professor,2500,Southwest,0,0,No,0,5,39,53.06,22029.75,0,0,25,0,HIGH,ERVIN,0,NO,SLAUGHTER
SINGLE,UT,0,3,0,0,3,NO,66744,CU15251,Male,Cashier,1500,Southwest,0,0,No,0,5,21,53.06,14286,0,0,25,0,MEDIUM,GUS,0,NO,MCKINNEY
DIVORCED,MI,50987,5,4000,10300,1,YES,60380,CU5515,Female,Not specified,900,Midwest,2,1000,No,8,0,68,56.25,37395,55358,4,25,6,VERY HIGH,ALLISON,2,YES,HOLLIDAY
OTHER,MI,30893,1,15000,22000,1,NO,67160,CU5516,Female,Clerical,1600,Midwest,2,5000,No,1,0,63,54.27,41590,31426,3,25,5,VERY HIGH,GENNA,2,YES,WELSH
SINGLE,FL,179,1,0,17001,1,NO,63311,CU5518,Male,Clerical,600,South,0,1,No,4,0,69,54.17,21227.75,9561,5,2761,5,MEDIUM,VICTOR,0,YES,EATON
MARRIED,CO,0,5,900,450,5,YES,78689,CU15842,Female,School Teacher,2500,West,1,900,Yes,3,4,33,53.11,20472.25,211,2,25,2,MEDIUM,GLADY,1,YES,HAWLEY
MARRIED,MS,0,3,700,550,3,NO,74255,CU15843,Male,Cashier,1500,South,1,700,No,8,4,27,53.15,26763.75,325,2,25,2,HIGH,HUGO,1,YES,CALLAHAN
DIVORCED,NV,0,1,2000,301,1,YES,82816,CU15845,Male,PROF-19,2500,Southwest,1,2000,No,2,4,31,53.68,27304,507,2,25,4,HIGH,LOUIS,1,YES,MOCK
DIVORCED,NY,0,1,2000,950,1,NO,53294,CU15846,Male,PROF-1,2500,NorthEast,1,300,No,7,4,36,53.51,25423.5,107,3,25,4,HIGH,PORTER,1,YES,TRIPLETT
SINGLE,NY,0,1,616,0,1,NO,71859,CU15848,Male,Construction Laborer,2500,NorthEast,1,616,No,0,4,31,53.07,29564.75,0,0,25,1,HIGH,MATT,1,YES,BRYAN
SINGLE,NY,0,3,200,0,3,NO,61764,CU15849,Male,PROF-3,2500,NorthEast,1,200,No,0,4,43,53.06,25241,0,0,25,0,HIGH,MILLARD,1,YES,TORRES
SINGLE,CA,0,3,483,250,3,NO,60605,CU15615,Male,Sales Representative,1000,West,1,483,No,2,4,26,53.36,23251.25,0,2,25,3,HIGH,CAMERON,1,YES,ABRAHAM
MARRIED,CA,0,3,1700,1300,3,YES,71881,CU15645,Male,PROF-5,1500,West,1,1700,No,2,2,31,55.49,21570.25,9408,3,9398,5,MEDIUM,KAREEM,1,YES,CHASE
MARRIED,NV,0,1,1800,850,1,YES,75086,CU15699,Male,Truck Driver,1500,Southwest,1,250,No,8,4,40,53.17,26271.5,203,3,184,2,HIGH,ELOY,1,YES,DRAKE
SINGLE,NV,0,1,0,0,1,NO,66239,CU15753,Male,PROF-5,2500,Southwest,0,0,No,0,4,34,53.07,18459.75,0,0,25,1,MEDIUM,HANS,0,NO,PLUMMER
DIVORCED,CA,0,3,2000,0,3,YES,62093,CU10281,Male,PROF-29,1500,West,1,2000,No,1,1,40,52.71,20023.25,113,1,25,2,MEDIUM,LEANDRO,1,YES,SCHAEFER
DIVORCED,NY,74838,1,3190,13300,1,YES,62572,CU10282,Female,School Teacher,800,NorthEast,1,3300,No,3,1,53,55.92,24443,89079,4,14221,6,HIGH,JANETTE,1,YES,ENGEL
DIVORCED,DC,0,4,2000,1950,1,YES,71775,CU14070,Female,Truck Driver,1500,NorthEast,1,350,No,4,1,50,54.83,27943.75,1645,1,1281,5,HIGH,OZELL,1,YES,PATTEN
MARRIED,NC,0,1,710,0,1,NO,67559,CU14071,Male,Childcare Worker,1000,South,1,710,No,2,1,30,53.05,28389.75,0,1,25,2,HIGH,JASPER,1,YES,LINK
MARRIED,NY,0,3,700,500,3,NO,62007,CU14072,Male,Programmer/Developer,1000,NorthEast,1,700,Yes,10,1,26,53.49,23601.75,238,2,25,4,HIGH,BRICE,1,YES,MCNEILL
SINGLE,CA,0,3,273,0,3,NO,60250,CU14073,Male,Administrative Assistant,1000,West,1,273,No,0,1,30,53.06,23562.5,0,0,25,0,HIGH,GARRET,1,YES,DAILEY
SINGLE,FL,0,3,0,500,3,NO,63002,CU14075,Male,Programmer/Developer,1000,South,0,0,No,14,2,19,53.23,13150.5,0,2,25,3,LOW,MIGUEL,0,NO,GATLIN
SINGLE,OR,0,1,202,0,1,NO,68679,CU14078,Male,Technical Writer,1000,West,1,202,No,2,1,22,53.05,27869.75,0,0,25,2,HIGH,SAMMIE,1,YES,WALKER
SINGLE,CA,0,1,156,0,1,NO,60891,CU14079,Male,PROF-27,600,West,1,156,No,2,1,38,53.06,27522.75,0,0,25,0,HIGH,BRENDON,1,YES,RUDD
DIVORCED,NC,0,1,3000,1901,1,NO,59828,CU14080,Male,PROF-10,1500,South,1,1,No,2,1,33,52.14,26757,1072,1,25,2,HIGH,HUMBERTO,1,YES,HUMPHRIES
SINGLE,CA,0,3,0,500,3,NO,64044,CU14081,Male,Programmer/Developer,1000,West,0,0,No,6,1,19,53.22,13411,429,2,25,3,LOW,DONN,0,YES,MANNING
SINGLE,NY,0,3,250,0,3,NO,66738,CU14880,Male,Programmer/Developer,1000,NorthEast,1,250,No,0,1,24,53.06,24584.5,0,1,25,0,HIGH,DANIAL,1,YES,ARAGON
SINGLE,UT,0,1,0,0,1,NO,83089,CU15222,Male,PROF-34,2500,Southwest,0,0,No,0,5,42,53.05,23472.25,0,0,25,2,HIGH,LEANDRO,0,NO,REID
SINGLE,UT,0,5,300,250,5,NO,76453,CU15223,Female,Programmer/Developer,2500,Southwest,1,300,No,2,5,21,53.04,23713.25,0,2,25,2,HIGH,LESLEE,1,YES,STALLINGS
SINGLE,NV,0,2,0,0,0,NO,61230,CU4676,Male,Administrative Assistant,500,Southwest,0,0,No,0,3,40,53.06,20307.5,504,1,25,0,MEDIUM,QUENTIN,0,YES,GIVENS
DIVORCED,NY,0,4,3850,9850,6,YES,66502,CU4702,Female,Homemaker,900,NorthEast,1,1500,Yes,1,3,46,54.08,16225.5,1008,4,25,5,MEDIUM,NIEVES,1,YES,PEDERSEN
MARRIED,NY,101297,1,5500,24700,1,NO,65362,CU4744,Female,Software Engineer,900,NorthEast,1,3800,Yes,2,2,43,57.37,29140.5,103646,7,25,6,HIGH,AUBREY,1,YES,DOUGLAS
DIVORCED,MI,0,3,3000,2800,3,NO,68419,CU4775,Male,PROF-18,900,Midwest,1,3000,No,3,0,28,53.27,25404.75,3382,1,25,3,HIGH,ANTIONE,1,YES,VALENCIA
DIVORCED,MI,0,3,2700,2450,3,YES,62196,CU4803,Male,IT Staff,1500,Midwest,1,300,Yes,2,3,31,53.37,19149,582,1,37,3,MEDIUM,TUAN,1,YES,HODGES
DIVORCED,NY,0,1,2200,3858,1,NO,63370,CU4833,Male,Not specified,1400,NorthEast,1,858,Yes,6,3,52,54.15,29542.5,1074,1,25,5,HIGH,RENATO,1,YES,STEARNS
MARRIED,MI,0,1,6000,4201,1,YES,65365,CU4866,Female,IT Staff,1100,Midwest,2,1,No,4,3,35,53.78,33341.25,6425,1,33,4,VERY HIGH,LAQUANDA,2,YES,HULL
DIVORCED,MI,0,3,2000,3150,3,YES,56647,CU4896,Male,Truck Driver,1500,Midwest,1,750,No,17,3,29,54.26,17561.75,2566,1,25,5,MEDIUM,DELMAR,1,YES,ELDRIDGE
SINGLE,MI,0,4,600,1070,3,YES,58278,CU4917,Male,PROF-6,900,Midwest,1,600,Yes,2,9,51,54.27,20669.5,1038,3,25,5,MEDIUM,LIONEL,1,YES,DRISCOLL
MARRIED,MI,0,3,1236,0,3,NO,73906,CU4945,Male,Homemaker,1500,Midwest,1,1236,No,5,0,29,53.09,26876.5,725,2,218,1,HIGH,TOBY,1,YES,BAILEY
DIVORCED,NY,0,1,2600,3500,1,YES,63970,CU4985,Female,Professor,800,NorthEast,1,1500,No,2,6,46,54.02,24092.5,2870,2,1436,5,HIGH,JOANNA,1,YES,BYRNE
DIVORCED,NY,0,2,4700,0,2,YES,82696,CU5015,Female,IT Staff,3500,NorthEast,1,4700,No,1,0,44,53.08,27074,823,1,25,1,HIGH,ROXANA,1,YES,IRWIN
MARRIED,MI,0,3,1150,900,3,YES,60186,CU5045,Male,Bank Teller,500,Midwest,1,1150,Yes,2,0,28,53.23,18346.5,3045,3,2441,3,MEDIUM,CLIFTON,1,YES,BATEMAN
SINGLE,NY,0,2,0,0,0,YES,61060,CU5118,Male,Administrative Assistant,900,NorthEast,0,0,No,0,0,58,53.06,17065,504,1,25,0,MEDIUM,HERIBERTO,0,YES,WHITE
MARRIED,CA,0,1,840,0,1,YES,64189,CU5146,Male,Medical Doctor,1500,West,2,840,No,0,0,37,53.06,33247.25,0,1,25,0,VERY HIGH,LEN,2,YES,WILLEY
MARRIED,OK,0,5,1000,0,5,NO,71374,CU14711,Female,Programmer/Developer,1000,Midwest,1,1000,No,7,1,25,53.14,22843.5,1262,1,25,2,HIGH,EURA,1,YES,BRYSON
SINGLE,UT,0,3,0,0,3,NO,63476,CU15980,Male,Programmer/Developer,1500,Southwest,0,0,No,2,5,20,53.04,13369,0,0,25,2,LOW,STEVIE,0,NO,LOWERY
DIVORCED,MI,0,1,2500,5800,1,YES,61715,CU4811,Male,Cashier,1000,Midwest,1,1000,Yes,4,3,31,56.97,22028.75,3677,1,25,6,HIGH,ARNOLD,1,YES,PUCKETT
MARRIED,NY,0,3,700,650,3,NO,54926,CU15737,Male,Dentist,1500,NorthEast,1,700,No,18,4,21,53.54,21331.5,172,2,127,4,MEDIUM,DWAIN,1,YES,AGUILERA
SINGLE,NY,0,3,0,0,3,NO,57742,CU15738,Male,PROF-38,1500,NorthEast,0,0,No,1,4,19,53.06,11835.5,0,0,25,0,LOW,HASSAN,0,NO,GANT
SINGLE,IL,0,3,0,0,3,NO,65618,CU15740,Male,Programmer/Developer,1500,Midwest,0,0,No,0,4,23,53.06,14204.5,0,0,25,0,MEDIUM,DANTE,0,NO,SCHUMACHER
MARRIED,MI,0,1,750,250,1,NO,61649,CU15741,Male,Construction Laborer,1500,Midwest,1,750,No,2,4,29,53.08,26812.25,0,2,59,1,HIGH,EARL,1,YES,QUINN
SINGLE,NY,0,2,0,0,0,NO,84768,CU15742,Male,PROF-5,2500,NorthEast,0,0,No,0,4,67,53.06,28892,0,0,25,0,HIGH,LOUIS,0,NO,CAMPOS
SINGLE,NY,0,3,0,500,3,NO,57833,CU15515,Male,Programmer/Developer,1000,NorthEast,0,0,Yes,4,6,20,53.44,11958.25,179,2,25,4,LOW,JOSHUA,0,YES,BRANTLEY
SINGLE,UT,0,3,0,250,3,NO,56568,CU15966,Male,Programmer/Developer,1500,Southwest,0,0,No,3,5,20,52.98,11642,151,2,25,2,LOW,MICHAL,0,YES,WILCOX
MARRIED,NY,63,3,1200,750,3,YES,58261,CU14048,Male,PROF-3,1500,NorthEast,1,1200,No,15,1,33,53.38,18365.25,4364,3,3879,3,MEDIUM,ERIN,1,YES,TYSON
MARRIED,NV,0,3,1091,1400,3,NO,68632,CU14049,Male,Waiter/Waitress,1000,Southwest,1,1091,Yes,10,1,27,53.02,25358,510,3,25,2,HIGH,DALLAS,1,YES,MACDONALD
SINGLE,MI,0,4,0,0,0,YES,59234,CU14050,Male,Administrative Assistant,600,Midwest,0,0,No,5,1,38,52.97,15608.5,1203,0,25,2,MEDIUM,DARIN,0,YES,KILGORE
OTHER,TX,0,1,15000,11800,1,YES,67748,CU4614,Female,Clerical,1600,Southwest,1,5000,No,2,3,37,54.2,24137,4096,2,25,5,HIGH,REINA,1,YES,CRISP
SINGLE,MN,0,1,319,0,1,YES,57734,CU4615,Male,Programmer/Developer,900,West,1,319,No,0,3,27,53.06,20633.5,507,1,25,0,MEDIUM,COLEMAN,1,YES,NICHOLSON
MARRIED,NY,0,1,5000,15100,1,YES,66366,CU4616,Female,IT Staff,900,NorthEast,2,2500,No,8,3,45,53.23,34591.5,4756,5,3983,3,VERY HIGH,MARGE,2,YES,ONEILL
WIDOWED,NY,0,4,6000,24100,3,YES,68283,CU4617,Female,Administrator,1500,NorthEast,1,3700,Yes,4,3,49,55.04,22970.75,11255,5,10180,5,HIGH,MUI,1,YES,SILVER
MARRIED,NY,0,1,1708,401,1,YES,61987,CU4618,Female,Fireman,500,NorthEast,1,1708,No,0,3,29,53.28,21896.75,568,2,25,3,MEDIUM,TONA,1,YES,FRANKS
SINGLE,CA,0,2,0,0,0,NO,63055,CU4619,Male,Construction Laborer,700,West,0,0,No,0,3,39,53.07,20663.75,506,0,25,1,MEDIUM,ANGEL,0,YES,MESSER
WIDOWED,DC,0,4,5000,6000,3,YES,47436,CU4621,Male,DBA,3500,NorthEast,1,1500,No,4,3,50,55.48,17859,16276,2,25,5,MEDIUM,ORVAL,1,YES,KELLER
DIVORCED,CA,0,1,2653,3950,1,YES,58558,CU4622,Female,PROF-40,1500,West,1,750,Yes,2,8,37,54.44,21839.5,2093,1,25,5,MEDIUM,CATHI,1,YES,CONNOLLY
SINGLE,MI,0,2,0,1601,0,YES,65846,CU4623,Male,Administrative Assistant,600,Midwest,0,501,No,5,3,50,53.19,17461.5,1457,3,942,3,MEDIUM,HOSEA,0,YES,YEAGER
SINGLE,NY,0,2,0,0,0,NO,69333,CU4624,Male,Administrative Assistant,900,NorthEast,0,0,No,2,3,52,53.09,23533.25,660,1,156,1,HIGH,MARCELLUS,0,YES,MERRILL
DIVORCED,CA,0,2,4000,7750,1,YES,62445,CU4626,Female,IT Staff,1500,West,1,1300,Yes,5,3,37,54.39,23311.25,1085,1,25,5,HIGH,TIERA,1,YES,SCHAFER
SINGLE,NY,0,2,0,0,0,NO,67137,CU4627,Male,PROF-34,600,NorthEast,0,0,No,1,3,38,53.07,21584.25,506,1,25,1,MEDIUM,ADOLPH,0,YES,WING
MARRIED,MI,0,1,5000,16050,1,YES,65823,CU4628,Female,IT Staff,500,Midwest,1,2500,Yes,4,3,43,56.78,24255.75,3668,5,25,6,HIGH,JOANA,1,YES,THARP
MARRIED,NY,543,4,12000,18000,1,YES,70571,CU4630,Female,Clerical,900,NorthEast,1,5000,No,1,3,47,53.42,27342.75,6505,5,25,4,HIGH,VERDIE,1,YES,AARON
SINGLE,NY,0,1,524,2320,1,YES,62631,CU4631,Female,PROF-23,600,NorthEast,1,720,Yes,13,3,58,53.71,24957.75,1476,1,25,4,HIGH,SELINA,1,YES,POSEY
MARRIED,CA,0,5,5000,15000,1,YES,68098,CU4632,Male,IT Staff,900,West,1,2500,No,18,10,37,52.92,26224.5,3201,5,25,2,HIGH,GASTON,1,YES,BELANGER
MARRIED,MI,0,1,5220,16050,1,YES,59043,CU4633,Female,Not specified,900,Midwest,1,2500,No,3,3,35,53.38,21760.75,7646,3,7092,3,MEDIUM,MARYANNA,1,YES,REDMOND
MARRIED,MI,0,1,1400,1650,1,NO,63967,CU4634,Female,Construction Laborer,1100,Midwest,1,250,No,15,0,30,53.78,27491.75,852,3,247,4,HIGH,NAOMI,1,YES,WYATT
SINGLE,MI,0,2,0,0,0,NO,65654,CU4635,Male,Homemaker,600,Midwest,0,0,No,0,3,40,53.06,21413.5,506,0,25,0,MEDIUM,BILLY,0,YES,DUCKWORTH
DIVORCED,CA,0,3,2120,3023,3,YES,66620,CU4347,Male,Homemaker,1000,West,2,741,No,2,6,48,53.83,31955,1534,1,1503,4,VERY HIGH,HARLEY,2,YES,JONES
MARRIED,TX,0,1,837,750,1,YES,59984,CU4348,Female,Veterinarian,500,Southwest,1,350,Yes,4,1,28,53.23,21296,813,3,25,3,MEDIUM,REBECCA,1,YES,HUGGINS
MARRIED,MI,0,1,8320,11050,1,YES,72308,CU8665,Female,Dentist,4000,Midwest,1,1700,Yes,14,1,33,53.97,24877,650,4,25,5,HIGH,MARGRET,1,YES,RYAN
MARRIED,MI,0,1,1000,0,1,YES,64710,CU8666,Male,IT Staff,700,Midwest,1,1000,No,4,1,38,53.17,23477.5,383,0,374,2,HIGH,JOAN,1,YES,BAUER
OTHER,NY,0,5,15000,8300,5,YES,84318,CU1889,Female,IT Staff,4000,NorthEast,1,2700,Yes,2,2,29,57.44,21479.5,5322,4,25,6,MEDIUM,LELA,1,YES,BURNETT
SINGLE,NY,0,2,0,0,0,NO,55169,CU1890,Male,Medical Doctor,2500,NorthEast,0,0,No,0,2,42,53.06,18992.25,0,0,25,0,MEDIUM,OLIN,0,NO,HYMAN
DIVORCED,NY,0,2,2000,0,0,NO,68002,CU1891,Male,PROF-3,1500,NorthEast,1,2000,No,1,2,29,53.07,30900.5,549,1,25,1,VERY HIGH,EARL,1,YES,SYLVESTER
SINGLE,NY,0,3,0,201,3,YES,60602,CU1894,Male,Bank Teller,1000,NorthEast,0,0,No,3,10,30,53.47,8650.5,5760,1,5065,4,LOW,BRET,0,YES,MAYBERRY
